fingerprint,domain_tool,n_items,nothing_pass,lesson_pass,scramble_pass,topic_pass
08d70bc36553,Bash,12,12,12,12,12
2b4ff368ae22,mcp__github__get_file_contents,8,0,0,0,0
348929cb76c6,mcp__jules__get_activities_since,8,0,0,0,0
48ca17b56a07,mcp__github__merge_pull_request,9,1,7,0,1
51ad58a9a362,mcp__jules__create_coding_task,9,0,0,0,0
64e7f67b93e6,PowerShell,9,0,3,0,0
751789fa6c33,Bash,9,1,5,4,1
935cfb594cff,Bash,9,9,9,9,9
a774048131e2,PowerShell,9,2,3,2,2
c2e322e81368,Bash,9,1,4,0,0
c9def7291693,mcp__jules__create_coding_task,8,0,3,1,0
d9227f479b2b,Bash,8,0,7,1,1
e9d240f906dc,mcp__jules__create_coding_task,9,0,4,0,0
f0db28a1c990,Bash,9,2,9,1,2
fb25ce8f2797,Bash,8,0,0,0,0
